page,text,left,top,width,height,line,conf
1,"and feel like by 2030, and what matters most to all of us",0.545455,0.371722,0.403951,0.025656,74,99.0
1,"who live, work, and visit the borough.",0.545455,0.395667,0.270308,0.024515,75,98.0
1,That means that whilst the Council has held the pen,0.546664,0.433295,0.191897,0.011688,76,99.0
1,"on the Borough Plan, it really does belong to us all",0.547269,0.448404,0.185446,0.010832,77,99.0
1,"residents, institutions, businesses, the voluntary",0.547269,0.462657,0.180004,0.010832,78,98.0
1,and community sector - everyone who has a stake,0.54747,0.47691,0.187664,0.010547,79,99.0
1,in Lambeth.,0.547067,0.490878,0.043741,0.010547,80,99.0
1,At the heart of our collective vision is the,0.547269,0.520525,0.14876,0.009977,81,97.0
1,commitment to improving the lives of every Lambeth,0.547269,0.535063,0.192703,0.010832,82,99.0
1,resident - leaving noone behind. Lambeth faces,0.547269,0.549316,0.176779,0.010262,83,99.0
1,"distinct challenges, both now and in the future -",0.54747,0.563569,0.17698,0.010262,84,97.0
1,and we know the impacts of these challenges are,0.547067,0.577537,0.182826,0.011117,85,99.0
1,felt differently across our diverse neighbourhoods,0.546462,0.590935,0.18202,0.012543,86,99.0
1,and communities.,0.547269,0.606613,0.064705,0.009407,87,97.0
1,"Collectively, we have to rise to these challenges and",0.54747,0.63569,0.190889,0.010547,88,98.0
1,be courageous to overcome them - not being afraid,0.547269,0.649943,0.191292,0.010547,89,99.0
1,to do things differently to deliver greater impact for,0.547067,0.663626,0.186051,0.011403,90,99.0
1,"ourselves, our friends, families and neighbours.",0.547269,0.678164,0.172949,0.011688,91,99.0
1,Lambeth 2030 is a vision for the best borough we,0.547067,0.707241,0.183834,0.011403,92,97.0
1,can be by 2030. That is a borough with social and,0.54747,0.722349,0.18464,0.010547,93,99.0
1,"climate justice at its heart. A borough that is safer,",0.54747,0.736602,0.183632,0.010547,94,98.0
1,"fit for the future, and which everyone can have the",0.547067,0.750285,0.18464,0.011688,95,99.0
1,opportunity to call home.,0.547067,0.764253,0.091917,0.012828,96,99.0
1,We know we face major challenges when it comes,0.546462,0.79333,0.187261,0.011973,97,97.0
1,"to making these ambitions a reality, not least the",0.547067,0.808153,0.177787,0.011403,98,99.0
1,"entrenched inequities that persist across Lambeth,",0.547269,0.822691,0.186051,0.011117,99,99.0
1,despite good progress made to change this. That,0.547067,0.836659,0.183229,0.011973,100,99.0
1,is why we are tying all our ambitions together with,0.546664,0.850912,0.184035,0.011688,101,99.0
1,a determination to be a borough of equity and,0.547067,0.86545,0.169321,0.010547,102,98.0
1,"justice - one that is fairer for our Black, Asian and",0.546664,0.879704,0.183229,0.011403,103,98.0
1,"Multi-Ethnic residents, our LGBTQ+ residents, our",0.54747,0.894242,0.184237,0.010547,104,99.0
1,"disabled residents, for women and girls, our faith",0.54747,0.907925,0.179399,0.011688,105,99.0
1,communities and those with lower socio-economic,0.547269,0.922178,0.187462,0.011117,106,99.0
1,status. We will be relentless in our pursuit of more,0.756702,0.433865,0.183028,0.010832,107,99.0
1,equitable outcomes in all that we do together,0.756501,0.448119,0.167103,0.011688,108,98.0
1,for Lambeth.,0.756299,0.462372,0.047571,0.010547,109,99.0
1,Lambeth 2030 is a plan for everyone - it will,0.756702,0.492588,0.162064,0.010547,110,98.0
1,"bind us to work together, through cross-sector",0.756702,0.506842,0.171941,0.010547,111,98.0
1,"collaborations and brave conversations, to realise",0.756501,0.520525,0.182221,0.011117,112,99.0
1,our 3 bold ambitions. We have special ingredients,0.756299,0.535063,0.183431,0.010832,113,98.0
1,"in Lambeth - including world leading organisations,",0.756299,0.548746,0.188672,0.011973,114,98.0
1,a vibrant voluntary and community sector and,0.756501,0.563284,0.169119,0.011403,115,99.0
1,passionate residents - which by working in,0.756702,0.578107,0.158033,0.011688,116,98.0
1,"partnership, can make a real difference.",0.756501,0.592075,0.14614,0.011973,117,99.0
1,I want to thank you - our residents and partners -,0.756299,0.621437,0.184035,0.011688,118,99.0
1,for your involvement in shaping Lambeth 2030. I am,0.756501,0.63626,0.191292,0.010832,119,99.0
1,continually struck by the pride people have for their,0.756702,0.650513,0.188268,0.010832,120,97.0
1,local community and for Lambeth and share your,0.756299,0.664196,0.181818,0.011973,121,99.0
1,passion and drive to be one of the best boroughs in,0.756702,0.678734,0.190889,0.011688,122,98.0
1,London. Lambeth 2030 is the first step towards our,0.756501,0.692417,0.190284,0.011688,123,98.0
1,future. Let's do this together.,0.756299,0.707526,0.105422,0.011688,124,98.0
1,Let's do this together.,0.756299,0.735747,0.088692,0.012543,125,97.0
1,lan Davis,0.756299,0.893101,0.036686,0.011973,126,99.0
1,Chief Executive,0.756299,0.907355,0.056037,0.011688,127,98.0
1,Lambeth Council,0.756904,0.923033,0.061076,0.009407,128,97.0
1,"Lambeth 203o Our Future, Our Lambeth | 05",0.838541,0.031927,0.137069,0.009692,129,96.0
